--- CKS INTERNAL PEAK AUDIT ---
Lattice Bin: 0.031250 Hz
[001] GPS: 1238166018 | Peak: 2.062500 Hz | Error: 0.000000000000
[002] GPS: 1238171018 | Peak: 3.437500 Hz | Error: 0.000000000000
[003] GPS: 1238176018 | Peak: 2.062500 Hz | Error: 0.000000000000
[004] GPS: 1238181018 | Peak: 2.062500 Hz | Error: 0.000000000000
[005] GPS: 1238186018 | Peak: 2.062500 Hz | Error: 0.000000000000
[006] GPS: 1238191018 | Peak: 2.062500 Hz | Error: 0.000000000000
[007] GPS: 1238196018 | Peak: 3.437500 Hz | Error: 0.000000000000
[008] GPS: 1238201018 | Peak: 2.062500 Hz | Error: 0.000000000000
[009] GPS: 1238206018 | Peak: 2.062500 Hz | Error: 0.000000000000
[010] GPS: 1238211018 | Peak: 2.062500 Hz | Error: 0.000000000000
[011] GPS: 1238231018 | Peak: 3.437500 Hz | Error: 0.000000000000
[012] GPS: 1238236018 | Peak: 3.437500 Hz | Error: 0.000000000000
[013] GPS: 1238246018 | Peak: 2.062500 Hz | Error: 0.000000000000
[014] GPS: 1238296018 | Peak: 2.062500 Hz | Error: 0.000000000000
[015] GPS: 1238301018 | Peak: 2.062500 Hz | Error: 0.000000000000
[016] GPS: 1238306018 | Peak: 3.437500 Hz | Error: 0.000000000000
[017] GPS: 1238326018 | Peak: 2.062500 Hz | Error: 0.000000000000
[018] GPS: 1238331018 | Peak: 2.062500 Hz | Error: 0.000000000000
[019] GPS: 1238336018 | Peak: 2.062500 Hz | Error: 0.000000000000
[020] GPS: 1238341018 | Peak: 3.437500 Hz | Error: 0.000000000000
[021] GPS: 1238351018 | Peak: 2.062500 Hz | Error: 0.000000000000
[022] GPS: 1238371018 | Peak: 3.437500 Hz | Error: 0.000000000000
[023] GPS: 1238391018 | Peak: 2.062500 Hz | Error: 0.000000000000
[024] GPS: 1238396018 | Peak: 2.062500 Hz | Error: 0.000000000000
[025] GPS: 1238401018 | Peak: 2.062500 Hz | Error: 0.000000000000
[026] GPS: 1238406018 | Peak: 2.062500 Hz | Error: 0.000000000000
[027] GPS: 1238411018 | Peak: 3.437500 Hz | Error: 0.000000000000
[028] GPS: 1238416018 | Peak: 2.062500 Hz | Error: 0.000000000000
[029] GPS: 1238421018 | Peak: 2.062500 Hz | Error: 0.000000000000
[030] GPS: 1238426018 | Peak: 2.062500 Hz | Error: 0.000000000000
[031] GPS: 1238431018 | Peak: 2.062500 Hz | Error: 0.000000000000
[032] GPS: 1238436018 | Peak: 2.062500 Hz | Error: 0.000000000000
[033] GPS: 1238456018 | Peak: 2.062500 Hz | Error: 0.000000000000
[034] GPS: 1238461018 | Peak: 2.062500 Hz | Error: 0.000000000000
[035] GPS: 1238466018 | Peak: 2.062500 Hz | Error: 0.000000000000
[036] GPS: 1238471018 | Peak: 2.062500 Hz | Error: 0.000000000000
[037] GPS: 1238476018 | Peak: 3.437500 Hz | Error: 0.000000000000
[038] GPS: 1238481018 | Peak: 2.062500 Hz | Error: 0.000000000000
[039] GPS: 1238486018 | Peak: 2.062500 Hz | Error: 0.000000000000
[040] GPS: 1238491018 | Peak: 2.062500 Hz | Error: 0.000000000000
[041] GPS: 1238496018 | Peak: 2.062500 Hz | Error: 0.000000000000
[042] GPS: 1238501018 | Peak: 2.062500 Hz | Error: 0.000000000000
[043] GPS: 1238506018 | Peak: 2.062500 Hz | Error: 0.000000000000
[044] GPS: 1238511018 | Peak: 2.062500 Hz | Error: 0.000000000000
[045] GPS: 1238516018 | Peak: 3.437500 Hz | Error: 0.000000000000
[047] GPS: 1238541018 | Peak: 3.437500 Hz | Error: 0.000000000000
[048] GPS: 1238546018 | Peak: 3.437500 Hz | Error: 0.000000000000
[049] GPS: 1238551018 | Peak: 2.062500 Hz | Error: 0.000000000000
[050] GPS: 1238571018 | Peak: 2.062500 Hz | Error: 0.000000000000
[051] GPS: 1238576018 | Peak: 2.062500 Hz | Error: 0.000000000000
[052] GPS: 1238581018 | Peak: 2.062500 Hz | Error: 0.000000000000
[053] GPS: 1238586018 | Peak: 2.062500 Hz | Error: 0.000000000000
[054] GPS: 1238591018 | Peak: 2.062500 Hz | Error: 0.000000000000
[055] GPS: 1238596018 | Peak: 2.062500 Hz | Error: 0.000000000000
[056] GPS: 1238601018 | Peak: 2.062500 Hz | Error: 0.000000000000
[057] GPS: 1238606018 | Peak: 2.062500 Hz | Error: 0.000000000000
[058] GPS: 1238611018 | Peak: 2.062500 Hz | Error: 0.000000000000
[059] GPS: 1238616018 | Peak: 3.437500 Hz | Error: 0.000000000000
[060] GPS: 1238636018 | Peak: 3.437500 Hz | Error: 0.000000000000
[061] GPS: 1238641018 | Peak: 2.062500 Hz | Error: 0.000000000000
[062] GPS: 1238646018 | Peak: 2.062500 Hz | Error: 0.000000000000
[063] GPS: 1238651018 | Peak: 2.062500 Hz | Error: 0.000000000000
[064] GPS: 1238656018 | Peak: 2.062500 Hz | Error: 0.000000000000
[065] GPS: 1238661018 | Peak: 2.062500 Hz | Error: 0.000000000000
[066] GPS: 1238666018 | Peak: 2.062500 Hz | Error: 0.000000000000
